        Goodreads Top 100 - Highest Rated Books on Goodreads with at least 10,000 Ratings

                      Name                        ,Author                  ,Ratings          
Words of Radiance (The Stormlight Archive, #2)     , Brandon Sanderson      ,  4.76 avg rating — 329,776 ratings
Harry Potter and the Deathly Hallows (Harry Potter, #7)     , J.K. Rowling      ,  4.62 avg rating — 3,607,465 ratings
Crooked Kingdom (Six of Crows, #2)     , Leigh Bardugo      ,  4.60 avg rating — 606,311 ratings
Fourth Wing (The Empyrean, #1)     , Rebecca Yarros      ,  4.62 avg rating — 928,049 ratings
A Court of Mist and Fury (A Court of Thorns and Roses, #2)     , Sarah J. Maas      ,  4.64 avg rating — 1,485,505 ratings
The Return of the King (The Lord of the Rings, #3)     , J.R.R. Tolkien      ,  4.56 avg rating — 871,920 ratings
The House of Hades (The Heroes of Olympus, #4)     , Rick Riordan      ,  4.56 avg rating — 391,324 ratings
Know My Name     , Chanel Miller      ,  4.71 avg rating — 186,416 ratings
The Nightingale     , Kristin Hannah      ,  4.61 avg rating — 1,248,223 ratings
The Complete Maus     , Art Spiegelman      ,  4.57 avg rating — 213,173 ratings
Kingdom of Ash (Throne of Glass, #7)     , Sarah J. Maas      ,  4.67 avg rating — 429,735 ratings
Heartstopper: Volume Four (Heartstopper, #4)     , Alice Oseman      ,  4.62 avg rating — 352,554 ratings
The Wise Man's Fear (The Kingkiller Chronicle, #2)     , Patrick Rothfuss      ,  4.55 avg rating — 542,310 ratings
Clockwork Princess (The Infernal Devices, #3)     , Cassandra Clare      ,  4.56 avg rating — 436,842 ratings
Just Mercy     , Bryan Stevenson      ,  4.63 avg rating — 224,800 ratings
The Boy, the Mole, the Fox and the Horse     , Charlie Mackesy      ,  4.56 avg rating — 175,244 ratings
It's a Magical World (Calvin and Hobbes, #11)     , Bill Watterson      ,  4.73 avg rating — 28,162 ratings
A Memory of Light (The Wheel of Time, #14)     , Robert Jordan      ,  4.56 avg rating — 140,265 ratings
The Sun Does Shine: How I Found Life and Freedom on Death Row     , Anthony Ray Hinton      ,  4.64 avg rating — 55,699 ratings
A Day in the Life of Marlon Bundo     , Jill Twiss      ,  4.64 avg rating — 17,216 ratings
The Last Question     , Isaac Asimov      ,  4.55 avg rating — 24,937 ratings
The Trouble with Peace (The Age of Madness, #2)     , Joe Abercrombie      ,  4.60 avg rating — 28,877 ratings
Paint It All Red (Mindf*ck, #5)     , S.T. Abby      ,  4.57 avg rating — 134,895 ratings
The Ballad of Never After (Once Upon a Broken Heart, #2)     , Stephanie Garber      ,  4.55 avg rating — 144,671 ratings
Assassin's Fate (The Fitz and the Fool, #3)     , Robin Hobb      ,  4.65 avg rating — 38,514 ratings
March: Book Three (March, #3)     , John             Lewis      ,  4.65 avg rating — 20,442 ratings
Light Bringer (Red Rising Saga, #6)     , Pierce Brown      ,  4.75 avg rating — 24,730 ratings
Fullmetal Alchemist, Vol. 20 (Fullmetal Alchemist, #20)     , Hiromu Arakawa      ,  4.63 avg rating — 13,354 ratings
Jade Legacy (The Green Bone Saga, #3)     , Fonda Lee      ,  4.65 avg rating — 21,366 ratings
One Piece, Volume 38: Rocketman!!     , Eiichiro Oda      ,  4.64 avg rating — 14,321 ratings
Neverseen (Keeper of the Lost Cities, #4)     , Shannon Messenger      ,  4.59 avg rating — 39,453 ratings
When Stars Are Scattered     , Victoria Jamieson      ,  4.63 avg rating — 25,628 ratings
Moon Rising (Wings of Fire, #6)     , Tui T. Sutherland      ,  4.61 avg rating — 24,841 ratings
Skin Game (The Dresden Files, #15)     , Jim Butcher      ,  4.56 avg rating — 84,216 ratings
The Sandman, Vol. 9: The Kindly Ones     , Neil Gaiman      ,  4.59 avg rating — 50,082 ratings
The King's Men (All for the Game, #3)     , Nora Sakavic      ,  4.57 avg rating — 57,215 ratings
Saga, Volume 9     , Brian K. Vaughan      ,  4.57 avg rating — 31,020 ratings
Manacled     , SenLinYu      ,  4.67 avg rating — 52,248 ratings
The Empty Grave (Lockwood & Co., #5)     , Jonathan Stroud      ,  4.61 avg rating — 20,444 ratings
The Dying of the Light (Skulduggery Pleasant, #9)     , Derek Landy      ,  4.60 avg rating — 11,266 ratings
Tiamat's Wrath (The Expanse, #8)     , James S.A. Corey      ,  4.57 avg rating — 62,292 ratings
鬼滅の刃 8 [Kimetsu no Yaiba 8]     , Koyoharu Gotouge      ,  4.67 avg rating — 14,791 ratings
Some Kind of Perfect (Calloway Sisters, #5)     , Krista Ritchie      ,  4.66 avg rating — 22,313 ratings
Finding Me     , Viola Davis      ,  4.57 avg rating — 94,946 ratings
約束のネバーランド 4 [Yakusoku no Neverland 4]     , Kaiu Shirai      ,  4.61 avg rating — 14,067 ratings
Written in My Own Heart's Blood (Outlander, #8)     , Diana Gabaldon      ,  4.55 avg rating — 124,199 ratings
